lga_code,lga_name,IRSAD_score,IRSAD_decile
10050,Albury,950,5
10180,Armidale Regional,976,7
10250,Ballina,996,8
10300,Balranald,934,4
10470,Bathurst Regional,967,7
10500,Bayside (NSW),1044,9
10550,Bega Valley,949,5
10600,Bellingen,960,6
10650,Berrigan,927,4
10750,Blacktown,1006,8
10800,Bland,958,6
10850,Blayney,962,6
10900,Blue Mountains,1042,9
10950,Bogan,948,5
11150,Bourke,954,6
11200,Brewarrina,866,1
11250,Broken Hill,892,2
11300,Burwood,1050,9
11350,Byron,1027,9
11400,Cabonne,995,8
11450,Camden,1050,9
11500,Campbelltown (NSW),952,5
11520,Canada Bay,1116,10
11570,Canterbury-Bankstown,966,7
11600,Carrathool,953,6
11650,Central Coast (NSW),978,7
11700,Central Darling,869,1
11720,Cessnock,908,3
11730,Clarence Valley,910,3
11750,Cobar,937,4
11800,Coffs Harbour,954,6
12000,Coolamon,951,5
12150,Coonamble,893,2
12160,Cootamundra-Gundagai Regional,926,3
12350,Cowra,908,2
12380,Cumberland,961,6
12390,Dubbo Regional,958,6
12700,Dungog,974,7
12730,Edward River,939,4
12750,Eurobodalla,946,5
12850,Fairfield,885,2
12870,Federation,925,3
12900,Forbes,941,5
12930,Georges River,1048,9
12950,Gilgandra,913,3
13010,Glen Innes Severn,891,2
13310,Goulburn Mulwaree,945,5
13340,Greater Hume Shire,964,6
13450,Griffith,950,5
13550,Gunnedah,940,4
13660,Gwydir,936,4
13800,Hawkesbury,1008,9
13850,Hay,926,3
13910,Hilltops,929,4
14000,Hornsby,1116,10
14100,Hunters Hill,1156,10
14170,Inner West,1118,10
14220,Inverell,906,2
14300,Junee,918,3
14350,Kempsey,881,2
14400,Kiama,1061,9
14500,Ku-ring-gai,1165,10
14550,Kyogle,906,2
14600,Lachlan,936,4
14650,Lake Macquarie,981,7
14700,Lane Cove,1162,10
14750,Leeton,922,3
14850,Lismore,945,5
14870,Lithgow,912,3
14900,Liverpool,968,7
14920,Liverpool Plains,905,2
14950,Lockhart,950,5
15050,Maitland,963,6
15240,Mid-Coast,912,3
15270,Mid-Western Regional,949,5
15300,Moree Plains,932,4
15350,Mosman,1169,10
15520,Murray River,965,7
15560,Murrumbidgee,951,5
15650,Muswellbrook,908,2
15700,Nambucca Valley,898,2
15750,Narrabri,936,4
15800,Narrandera,910,3
15850,Narromine,934,4
15900,Newcastle,1012,9
15950,North Sydney,1164,10
15990,Northern Beaches,1125,10
16100,Oberon,948,5
16150,Orange,979,7
16200,Parkes,922,3
16260,Parramatta,1070,10
16350,Penrith,981,8
16380,Port Macquarie-Hastings,958,6
16400,Port Stephens,952,5
16490,Queanbeyan-Palerang Regional,1062,9
16550,Randwick,1113,10
16610,Richmond Valley,892,2
16700,Ryde,1099,10
16900,Shellharbour,962,6
16950,Shoalhaven,949,5
17000,Singleton,965,7
17040,Snowy Monaro Regional,991,8
17080,Snowy Valleys,923,3
17100,Strathfield,1066,10
17150,Sutherland Shire,1090,10
17200,Sydney,1126,10
17310,Tamworth Regional,937,4
17350,Temora,939,4
17400,Tenterfield,903,2
17420,The Hills Shire,1136,10
17550,Tweed,967,7
17620,Upper Hunter Shire,943,5
17640,Upper Lachlan Shire,995,8
17650,Uralla,963,6
17750,Wagga Wagga,971,7
17850,Walcha,970,7
17900,Walgett,896,2
17950,Warren,952,5
18020,Warrumbungle Shire,914,3
18050,Waverley,1163,10
18100,Weddin,942,5
18200,Wentworth,949,5
18250,Willoughby,1142,10
18350,Wingecarribee,1031,9
18400,Wollondilly,1020,9
18450,Wollongong,1000,8
18500,Woollahra,1176,10
18710,Yass Valley,1062,10
19399,Unincorporated NSW,1025,9
20110,Alpine,989,8
20260,Ararat,932,4
20570,Ballarat,965,7
20660,Banyule,1064,10
20740,Bass Coast,957,6
20830,Baw Baw,971,7
20910,Bayside (Vic.),1127,10
21010,Benalla,938,4
21110,Boroondara,1131,10
21180,Brimbank,928,4
21270,Buloke,946,5
21370,Campaspe,932,4
21450,Cardinia,993,8
21610,Casey,986,8
21670,Central Goldfields,867,1
21750,Colac Otway,938,4
21830,Corangamite,955,6
21890,Darebin,1044,9
22110,East Gippsland,931,4
22170,Frankston,982,8
22250,Gannawarra,919,3
22310,Glen Eira,1103,10
22410,Glenelg,919,3
22490,Golden Plains,997,8
22620,Greater Bendigo,959,6
22670,Greater Dandenong,918,3
22750,Greater Geelong,990,8
22830,Greater Shepparton,931,4
22910,Hepburn,984,8
22980,Hindmarsh,923,3
23110,Hobsons Bay,1034,9
23190,Horsham,959,6
23270,Hume,949,5
23350,Indigo,996,8
23430,Kingston (Vic.),1048,9
23670,Knox,1029,9
23810,Latrobe (Vic.),907,2
23940,Loddon,925,3
24130,Macedon Ranges,1047,9
24210,Manningham,1075,10
24250,Mansfield,989,8
24330,Maribyrnong,1045,9
24410,Maroondah,1035,9
24600,Melbourne,1086,10
24650,Melton,974,7
24780,Mildura,922,3
24850,Mitchell,968,7
24900,Moira,927,3
24970,Monash,1067,10
25060,Moonee Valley,1060,9
25150,Moorabool,987,8
25250,Moreland,1049,9
25340,Mornington Peninsula,1016,9
25430,Mount Alexander,987,8
25490,Moyne,998,8
25620,Murrindindi,971,7
25710,Nillumbik,1088,10
25810,Northern Grampians,921,3
25900,Port Phillip,1106,10
25990,Pyrenees,929,4
26080,Queenscliffe,1067,10
26170,South Gippsland,966,7
26260,Southern Grampians,962,6
26350,Stonnington,1130,10
26430,Strathbogie,954,6
26490,Surf Coast,1076,10
26610,Swan Hill,927,4
26670,Towong,968,7
26700,Wangaratta,957,6
26730,Warrnambool,961,6
26810,Wellington,943,5
26890,West Wimmera,971,7
26980,Whitehorse,1067,10
27070,Whittlesea,981,7
27170,Wodonga,947,5
27260,Wyndham,1004,8
27350,Yarra,1108,10
27450,Yarra Ranges,1014,9
27630,Yarriambiack,923,3
29399,Unincorporated Vic,1022,9
30250,Aurukun,700,1
30300,Balonne,929,4
30370,Banana,954,6
30410,Barcaldine,971,7
30450,Barcoo,959,6
30760,Blackall Tambo,930,4
30900,Boulia,890,2
31000,Brisbane,1061,9
31750,Bulloo,942,5
31820,Bundaberg,898,2
31900,Burdekin,923,3
31950,Burke,928,4
32080,Cairns,966,7
32250,Carpentaria,862,1
32260,Cassowary Coast,902,2
32270,Central Highlands (Qld),961,6
32310,Charters Towers,908,2
32330,Cherbourg,660,1
32450,Cloncurry,939,4
32500,Cook,912,3
32600,Croydon,890,2
32750,Diamantina,942,5
32770,Doomadgee,696,1
32810,Douglas,944,5
33100,Etheridge,961,6
33200,Flinders (Qld),945,5
33220,Fraser Coast,890,2
33360,Gladstone,926,3
33430,Gold Coast,1009,9
33610,Goondiwindi,938,4
33620,Gympie,896,2
33800,Hinchinbrook,911,3
33830,Hope Vale,722,1
33960,Ipswich,940,4
33980,Isaac,971,7
34420,Kowanyama,686,1
34530,Livingstone,970,7
34570,Lockhart River,744,1
34580,Lockyer Valley,921,3
34590,Logan,930,4
34710,Longreach,976,7
