Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,crime_12m,crime_rank,crime_risk_score
Abington,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kars Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Keera,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Killiekrankie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Killimicat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Amaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Anabranch South,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Yarraman,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Yarrangobilly,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Yarras (Bathurst Regional),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kanoona,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kaputar,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Judds Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kiora,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kippara,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jews Lagoon,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Joes Box,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jones Bridge,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Knorrit Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jeogla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Appletree Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Yalwal,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Yaouk,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jerrabattgulla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jerrong,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jacksons Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Jagumba,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kulwin,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Kyarran,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
