suburb_code,suburb_name,IRSD_score,IRSD_decile,IRSAD_score,IRSAD_decile
10001,Aarons Pass,885.173643,1,881.7936814,1
10002,Abbotsbury,1047.136105,8,1060.161482,9
10003,Abbotsford (NSW),1062.494934,9,1108.085415,10
10004,Abercrombie,1074.541589,9,1039.382393,8
10005,Abercrombie River,1014.285395,5,998.1850646,6
10006,Aberdare,883.7474286,1,852.4991823,1
10007,Aberdeen (NSW),947.1669359,2,900.5411178,2
10008,Aberfoyle,1073.799452,9,1037.266812,8
10009,Aberglasslyn,1016.790499,6,981.6006026,5
10010,Abermain,923.1041647,2,883.4776797,1
10011,Abernethy,993.4569828,4,938.9460103,3
10012,Abington (NSW),1069.817794,9,1042.844136,9
10013,Acacia Creek,955.3807184,3,936.3750445,3
10014,Acacia Gardens,1080.015242,9,1095.792007,10
10015,Adaminaby,978.4566738,3,955.1927188,4
10016,Adamstown,1037.013967,7,1035.367123,8
10017,Adamstown Heights,1090.886435,10,1083.75325,10
10018,Adelong,943.1319245,2,907.9995817,2
10019,Adjungbilly,1055.482116,8,1052.098531,9
10020,Afterlee,994.7416971,4,963.2889659,4
10021,Agnes Banks,1053.002998,8,1045.194147,9
10022,Airds,663.327664,1,741.1870949,1
10023,Akolele,859.6578994,1,874.690565,1
10024,Albert,1080.005477,9,1079.809795,10
10025,Albion Park,1017.969226,6,980.4075452,5
10026,Albion Park Rail,930.6715401,2,899.858524,2
10027,Albury,1028.273309,6,1025.094167,8
10028,Aldavilla,962.5211244,3,915.1487031,2
10029,Alectown,1041.548802,7,1023.243924,8
10030,Alexandria,1104.008521,10,1174.195547,10
10031,Alfords Point,1097.699329,10,1111.269011,10
10032,Alfredtown,1073.233587,9,1034.498014,8
10033,Alice,870.2996739,1,900.5306161,2
10034,Alison (Central Coast - NSW),1041.864769,7,1059.209132,9
10035,Alison (Dungog - NSW),1015.846315,6,1021.17662,7
10036,Allambie Heights,1088.920805,10,1127.238212,10
10037,Allandale (NSW),1029.240664,6,1007.691312,7
