Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Aarons Pass,0,1,1,0,0,0,1,0,0,0,1,0
Abbotsbury,13,5,3,8,4,15,5,7,18,7,12,6
Abbotsford,9,6,9,16,10,7,21,6,19,8,12,6
Abercrombie,2,2,2,0,6,3,13,3,11,2,2,3
Abercrombie River,0,0,0,0,0,0,0,1,1,0,0,0
Aberdare,12,17,18,15,19,11,25,18,19,14,11,23
Aberdeen,8,7,10,15,8,7,15,12,14,18,17,6
Aberfoyle,0,0,0,1,0,0,0,0,0,0,0,0
Aberglasslyn,30,17,15,19,23,21,26,17,24,27,20,26
Abermain,7,15,16,16,17,26,17,13,11,19,17,22
Abernethy,3,1,1,0,1,2,2,0,1,0,2,3
Abington,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Creek,0,0,1,3,0,1,0,0,0,0,0,0
Acacia Gardens,6,2,4,3,7,6,6,7,7,7,3,2
Adaminaby,2,0,1,0,0,4,9,4,1,1,1,1
Adamstown,66,113,79,84,79,78,73,90,95,83,62,34
Adamstown Heights,12,19,10,12,9,10,18,14,14,8,13,10
Adelong,6,2,3,8,1,4,5,8,0,3,5,3
Adjungbilly,1,1,0,0,0,2,2,0,0,0,0,1
Afterlee,0,1,0,0,0,0,0,0,0,0,0,0
Agnes Banks,4,3,1,4,2,9,12,6,3,4,4,3
Airds,29,31,42,20,41,44,34,43,67,54,47,45
Akolele,1,3,3,2,4,4,3,1,1,4,1,5
Albert,0,0,0,0,1,1,3,0,0,0,0,0
Albion Park,37,33,46,74,35,33,34,35,50,46,46,35
Albion Park Rail,29,54,51,50,54,52,50,27,39,44,37,42
Albury,194,203,221,231,231,202,205,244,260,234,207,194
Aldavilla,1,2,0,1,2,0,4,0,1,1,0,4
Alectown,1,1,0,1,4,1,0,0,0,0,1,4
Alexandria,107,99,78,85,74,110,95,99,87,62,78,71
Alfords Point,4,8,2,7,7,13,1,0,3,6,2,3
Alfredtown,5,0,0,2,0,0,0,2,0,0,2,0
Alice,0,0,0,3,0,5,0,0,0,0,0,0
Alison (Central Coast),1,0,0,2,5,0,2,0,1,3,1,1
Alison (Dungog),0,0,0,0,0,0,0,0,0,0,0,0
Allambie Heights,8,6,3,7,7,5,7,3,16,21,4,2
Allandale,1,0,0,0,0,2,0,4,2,0,1,0
Allawah,13,33,10,5,2,1,7,8,5,2,1,5
Alleena,0,0,0,0,0,0,0,0,0,0,1,0
Allgomera,1,1,0,0,6,8,2,2,1,1,0,0
Allworth,0,0,1,0,3,0,2,0,1,0,1,0
Allynbrook,0,0,1,2,0,0,0,0,0,0,0,0
Alma Park,0,0,1,0,0,0,0,0,0,0,0,0
Alpine,1,0,0,0,1,0,0,0,0,0,0,0
Alstonvale,0,0,0,0,0,0,1,0,0,1,0,1
Alstonville,12,17,16,13,13,19,19,19,7,22,11,12
Alumy Creek,1,0,0,1,0,0,0,0,1,0,0,1
Amaroo,0,0,0,0,0,0,0,0,0,0,0,0
