Location / Neighbourhood,,,,,,,
Factors,Data Source (Valuation Report),Example,Data Type,Quantified,Manual Review Trigger,,
Property Address,Section 1 - Property Summary,"26/16 Middleton Avenue, Csatle Hill NSW 2154",Text,"Yes, but need to link with other APIs or conduct a table by researching. ",If the score for this suburb is low ,,
Zoning,Section 1 - Property Summary,R4 High Density Residential / The Hills LEP 2019,Text,"Yes, need to build a standard table for this factor",If the score for zoning is low,,
LGA,Section 1 - Property Summary,The Hills Shire Council,Text,"Yes, but need to link with other APISs or conduct a table by researching.",If the score for this council is low ,,
Marketability,Section 1 - Property Summary,Good,Text,"Yes, build a scoring table for each level",If the score for the marketability is low,,
,,,,,,,
,,,,,,,
Land,,,,,,,
Factors,Data Source (Valuation Report),Example,Data Type,Quantified,Manual Review Trigger,,
Title Search Sighted,Section 1 - Property Summary,No,Text,"Yes, build a binary table",Should be flagged if Yes. ,,
Encumbrances / Restriction,Section 1 - Property Summary,Not Known,Text,"Yes, build a table",If the score is low,,
Site Dimensions,Section 1 - Property Summary,Irregular in shape,Text,"Yes, build a table for reference",If the score is low,,
Units / Lot Entitlement,Section 3 - Valuation & Assessment Sumamry,1150/324005,Float,"Yes, build a reference table",If the score is low,,
Zoning Effect,Section 4 - Land ,Permits single residential property,Text,"Yes, build a reference table",If the score is low,,
Site Description & Access,Section 4 - Land ,"The strata development occupies a slightly irregular shaped corner allotment that is generally level throughout 
Northerly facing courtyard aspect with no significant views The subject is located on the eastern side of the road, having 
good sealed road access with constructed kerbs/gutters and footpaths",Text,"Yes, build a reference table",If the score is low,,
Servies,Section 4 - Land ,"Electricity, town water, sewerage, gas, telecommunication services are all connected",Text,"Yes, build a reference table",If the score is low,,
Overlays ,Section 8 - Additional Comments,"Unknown, no formal searches undertaken",Text,"Yes, build a reference table",If the score is low,,
"Valuation Risk Alerts: Is the subject property critically affected by any heritage, location or environmental issues?",Section 8 - Additional Comments,No ,Text,"Yes, build a binary table",If the score is low,,
Environmental Disclaimer,"Section 9 - Assumption, Conditions & Limitations","This Report is not an environmental audit and no advice is given in any way relating to environmental matters. Any comments given as to environmental 
factors in relation to the property are not given in the capacity as an expert. Given contamination issues can have an impact on the Market Value of the 
property, we reserve the right to review and if necessary, vary our valuation if any contamination or other environmental hazard is found to exist.",Text,"Yes, build a reference table",If the score is low,,
Certificate of Title,"Section 9 - Assumption, Conditions & Limitations","Unless stated as otherwise, a current/complete copy of Title has not been provided; therefore, the valuation assumes a freehold, unencumbered title with 
no encroachments on or by the subject land. If a title search discloses any encumbrances, easements, leases or other restrictions not mentioned in this 
Report a review of this valuation may be necessary. For further consideration of any notification(s) the full details should be referred to the valuer and/or 
legal experts for review.",Text,"Yes, build a reference table",If the score is low,,
Extent of Valuer's work,"Section 9 - Assumption, Conditions & Limitations","The extent of investigation undertaken by the valuer in completing the valuation has included:
• collation of information from relevant parties regarding the subject property;
• undertaking our own research regarding the subject property;
• an inspection of the property and measurement of buildings where required;
• undertaking market research in terms of values and/or costs of similar properties;
• preparation of valuation calculations, and;
• preparation of this Report;
This valuation has been based on information supplied which is assumed to have been provided in good faith and contain a full and frank disclosure of all 
information that is relevant to the valuation of the property. The valuer has not undertaken due diligence or verification of the information supplied.",Text,"Maybe. The valuer has NOT undertaken due diligence or verification of the information supplied. If this has been mentioned, need to manual review. Otherwise, flagged. ",See the left column,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Environmental Issues,,,,,,,
Factors,Data Source (Valuation Report),Example,Data Type,Quantified,Manual Review Trigger,,
Environmental Issues,Section 1 - Property Summary,Not Known,Text,Yes,If the score is low,,
Heritage Issues,Section 1 - Property Summary,Not Known,Text,"Yes, build a reference table",If the score is low,,
Location,Section 4 - Land ,"well serviced in relation to major shopping centre, schools, bus service
30km from CBD",Text,"Yes, build a reference table",If the score is low,,
Neighbourhood,Section 4 - Land ,"established residential neighbourhood
dwellings of varying age and style",Text,"Yes, build a reference table",If the score is low,,
Site Description & Access,Section 4 - Land ,"slightly irregular shaped corner allotment
generally level
no significant views
good road access (kerbs, gutters, footpaths)",Text,"Yes, build a reference table",If the score is low,,
Service,Section 4 - Land ,"electricity, water, sewerage, gas, telecommunication",Text,"Yes, build a reference table",If the score is low,,
"Environmental Issues: Is the subject property critically affected by any heritage, location or environmental issues?",Section 8 - Additional Comments,No,Text,"Yes, build a reference table",If the score is low,,
Overlays,Section 8 - Additional Comments,"Unknown, no formal searches undertaken",Text,"Yes, build a reference table",If the score is low,,
Environmental Disclaimer,"Section 9 - Assumption, Conditions & Limitations",This report is not an environmental audit. The valuer has not undertaken any investigation into contamination... Contamination issues can have an impact on the value... buyers and lenders concerned with these matters should make their own enquiries.,Text,"Yes, build a reference table",If the score is low,,
Extent of Valuer's work,"Section 9 - Assumption, Conditions & Limitations",This valuation has been based on information supplied and assumed to be accurate. The valuer has NOT undertaken due diligence or verification.,Text,"Yes, build a reference table",If the score is low,,
,,,,,,,
,,,,,,,
,,,,,,,
Improvements,,,,,,,
Factors,Data Source (Valuation Report),Example,Data Type,Quantified,Manual Review Trigger,,
Essential Repairs,Section 1 - Property Summary,No ,Text,"Yes, build a reference table",If the score is low,,
Main Dwelling,Section 1 - Property Summary,"Unit with 2 bedrooms, 2 bathrooms",Text,"Yes, build a reference table",If the score is low,,
Built About,Section 1 - Property Summary,Circa 2023,Text,"Yes, build a reference table",If the score is low,,
Number of Car Spaces,Section 1 - Property Summary,1,Numerical,"Yes, build a reference table",If the score is low,,
Areas,Section 1 - Property Summary,"Living: 107.00 sqm, Outdoor: 43.00 sqm, Other: 2.00 sqm",Text,"Yes, build a reference table",If the score is low,,
Style,Section 5 - Dwelling Description,"Medium rise, attached contemporary",Text,"Yes, build a reference table",If the score is low,,
Building Materials,Section 5 - Dwelling Description,"Including Main Walls & Roof, Main Interior Linings, Flooring, Window frames",Text,"Yes, build a reference table",If the score is low,,
Accommondation,Section 5 - Dwelling Description,"2 bedrooms, 2 bathrooms, Entry/foyer, Lounge, Dining, Kitchen, Study, Laundry",Text,"Yes, build a reference table",If the score is low,,
